Time[s],ain0[N],ain1[N],ain2[N],ain3[N],ain4[N],ain5[N],ain6[N],ain7[N],count
2086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2086.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2087.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2088.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2089.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2090.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2091.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2092.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2093.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2094.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2095.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2096.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
2097.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2
